,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Alabama,306259,311044,320614,349326,339756,306259,296688,301473,315829,344541,344541,311044,277547,205767,162700,124417,86135,76564
Alaska,53548,49978,52120,51406,55690,54976,48550,41411,52120,56404,55690,50692,37127,20705,13565,8567,6425,4283
Arizona,455375,448961,455375,461789,442547,442547,416892,416892,404065,423306,416892,378410,359169,282204,218067,160343,121861,102619
Arkansas,195747,195747,201590,210355,198669,186982,181139,189904,184061,201590,204512,181139,172374,134393,102256,75961,58432,52588
California,2539756,2539756,2577106,2838551,2801202,2726503,2577106,2577106,2614455,2689154,2577106,2203612,1867468,1307227,971083,784336,597589,597589
Colorado,343336,353434,328189,343336,348385,368582,358484,358484,343336,368582,373631,333238,272649,181766,131275,95932,75736,70686
Connecticut,200316,221778,239663,250395,228932,214624,207470,221778,261126,289742,286165,236086,207470,150237,107312,89426,75118,85849
Delaware,55785,55785,56685,67482,62084,56685,53986,56685,59384,67482,65683,60284,51286,43188,29692,21594,18895,16195
Florida,1074069,1074069,1130599,1224816,1243659,1168286,1111756,1187129,1243659,1394406,1337876,1224816,1130599,961009,772576,602986,471083,452239
Georgia,679881,709018,689593,718731,679881,660455,660455,689593,718731,718731,670168,573042,514767,359365,252527,174826,126263,116551
Hawaii,87271,81817,83180,85908,98180,94089,87271,85908,89998,96817,96817,91362,85908,59999,42272,35454,28636,31363
Idaho,121001,119430,119430,116287,106858,105287,103715,91144,102144,103715,105287,95858,83286,61286,48714,33000,26714,26714
Illinois,834805,860492,886178,924707,873335,911864,873335,847648,886178,937551,937551,821962,667844,488040,372451,282549,231176,244020
Indiana,434871,454343,447852,473815,454343,415399,408909,408909,428380,473815,473815,421890,350493,253134,201209,155774,123321,110340
Iowa,198242,198242,201292,219591,210441,198242,186042,176893,189092,216541,222641,201292,176893,125045,100646,82346,70147,76247
Kansas,205860,208719,194423,208719,203000,194423,177268,171550,177268,203000,203000,180127,151535,108648,82915,65760,57183,60042
Kentucky,278161,282507,291199,299892,295546,282507,282507,282507,295546,321623,317277,295546,247737,182543,143426,104310,78232,69540
Louisiana,313551,313551,304463,322640,340817,327184,295374,286286,290830,322640,327184,295374,245388,177224,136326,99973,77251,68163
Maine,69033,74343,79654,86291,80981,73016,71688,79654,92929,106205,110188,98239,94257,65050,47792,38499,31861,27878
Maryland,364516,370302,376088,410804,393446,393446,370302,376088,422376,457092,439734,376088,324014,225653,162007,127291,98361,98361
Massachusetts,367206,393435,399992,459007,478679,439336,406549,413107,478679,511465,498351,419664,386877,262290,196717,163931,137702,144259
Michigan,592654,632164,681552,740818,661797,582776,572899,602532,671675,740818,770450,681552,572899,414858,306204,246939,197551,187673
Minnesota,355809,345187,361119,366430,350498,371740,345187,329256,350498,403604,403604,350498,286771,207112,154006,127454,95590,106211
Mississippi,207902,204932,207902,225722,216812,190082,184142,193052,193052,207902,204932,187112,163351,127711,89101,71280,50490,44550
Missouri,389755,383758,395751,419736,419736,401747,371766,365770,377762,443721,449717,389755,335788,251841,197875,149905,119924,119924
Montana,61435,57472,63417,69362,65399,63417,58462,54499,59453,70353,78280,77290,64408,48554,32699,25763,20808,19817
Nebraska,131790,128130,126299,128130,131790,126299,115317,104334,117147,128130,131790,115317,98843,67725,53082,45760,40269,40269
Nevada,186620,183915,183915,183915,178506,194734,192029,192029,192029,189324,183915,156869,159573,116299,83843,59502,37864,29751
New Hampshire,68471,79005,84272,93489,84272,72421,72421,80322,98756,113241,111924,97440,82955,57937,39502,32918,25018,23701
New Jersey,536899,563303,589708,598510,545700,545700,563303,589708,642518,704129,677725,572105,475287,352064,264048,220040,176032,176032
New Mexico,144615,142549,144615,150813,142549,138417,126021,130153,121889,144615,146681,132219,126021,90901,66109,49582,39252,30988
New York,1144144,1163536,1221713,1357459,1415636,1376852,1279890,1241106,1376852,1454421,1415636,1241106,1066575,775691,581768,465414,407237,387845
North Carolina,631062,631062,640624,669309,659747,621501,621501,669309,669309,697993,669309,602378,545008,411146,296408,219915,172108,152984
North Dakota,44516,42493,37771,47214,59355,49238,39120,37771,38446,46540,50587,46540,36422,26305,20234,18885,15513,16862
Ohio,715243,749851,772924,819068,761388,726779,703707,715243,761388,853677,888286,784460,669098,484519,369157,299940,242259,230723
Oklahoma,263319,259557,259557,263319,267080,267080,240748,236987,229463,259557,267080,236987,206893,157991,124136,94042,71472,60187
Oregon,234176,238015,245693,249532,257210,264888,261049,249532,249532,264888,276404,272565,245693,168914,122846,88296,76779,76779
Pennsylvania,724448,762577,787997,902383,876964,775287,737158,762577,851545,953222,978641,876964,762577,559223,419417,355869,317740,317740
Rhode Island,56855,61067,63173,80019,81072,65278,61067,61067,76860,81072,80019,71596,60014,42115,32639,27375,24216,26322
South Carolina,301360,292087,305996,329178,333814,301360,287451,301360,301360,333814,324541,305996,282815,213270,162270,111271,78817,74180
South Dakota,57152,51437,58785,60418,55519,56335,48171,48171,48171,57968,59601,54703,43272,32658,26126,21228,17962,19595
Tennessee,406841,406841,425912,438625,432268,406841,406841,425912,438625,464053,457696,406841,381413,279703,209777,158922,108067,101710
Texas,1919540,1944797,1894283,1894283,1818512,1843769,1767997,1793255,1692226,1767997,1692226,1414398,1187084,858741,631427,479885,353599,303085
Utah,263764,249882,230446,222117,224893,233223,216564,183246,147152,158258,152705,133270,108282,77741,61082,44423,36094,30541
Vermont,32549,32549,40061,45069,45069,35679,34427,35053,42565,49450,51954,50702,40687,31298,18152,15649,12519,13145
Virginia,505550,505550,521600,561723,561723,561723,529624,545673,569747,617895,593821,505550,457403,320984,232713,176541,128393,120369
Washington,438392,438392,438392,458625,472114,478859,458625,451881,458625,485603,499092,451881,391180,269779,188845,141634,107911,121400
West Virginia,101968,107530,109384,122362,118654,105676,111238,116800,122362,129778,140901,140901,126070,94552,68597,55619,40787,37079
Wisconsin,352844,364227,381300,404064,386991,369918,347153,341462,381300,438210,438210,398373,307316,227641,176422,142276,119511,119511
Wyoming,41205,38947,35560,38947,38947,38947,37818,32174,33867,39512,45156,41770,31609,22578,17498,11853,9595,9031
