,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Alabama,0.059059,0.064064,0.062062,0.069069,0.067067,0.067067,0.062062,0.062062,0.061061,0.065065,0.068068,0.070070,0.062062,0.055055,0.040040,0.028028,0.020020,0.018018
Alaska,0.071000,0.072000,0.069000,0.066000,0.077000,0.086000,0.078000,0.066000,0.058000,0.059000,0.066000,0.073000,0.056000,0.043000,0.028000,0.015000,0.008000,0.009000
Arizona,0.063000,0.066000,0.066000,0.069000,0.069000,0.069000,0.065000,0.064000,0.059000,0.061000,0.061000,0.060000,0.060000,0.056000,0.042000,0.031000,0.021000,0.018000
Arkansas,0.063063,0.067067,0.066066,0.072072,0.065065,0.065065,0.063063,0.062062,0.060060,0.062062,0.065065,0.065065,0.061061,0.055055,0.040040,0.029029,0.020020,0.019019
California,0.063063,0.064064,0.065065,0.066066,0.072072,0.078078,0.072072,0.068068,0.064064,0.067067,0.066066,0.063063,0.056056,0.046046,0.032032,0.023023,0.016016,0.018018
Colorado,0.060060,0.065065,0.064064,0.064064,0.070070,0.077077,0.075075,0.071071,0.064064,0.065065,0.065065,0.067067,0.059059,0.051051,0.032032,0.022022,0.014014,0.014014
Connecticut,0.052000,0.056000,0.063000,0.070000,0.070000,0.061000,0.061000,0.057000,0.061000,0.070000,0.077000,0.074000,0.067000,0.053000,0.037000,0.026000,0.020000,0.025000
Delaware,0.058058,0.057057,0.062062,0.064064,0.062062,0.070070,0.065065,0.053053,0.062062,0.063063,0.069069,0.073073,0.065065,0.063063,0.043043,0.032032,0.019019,0.019019
Florida,0.054108,0.055110,0.057114,0.059118,0.061122,0.066132,0.063126,0.060120,0.059118,0.064128,0.069138,0.069138,0.064128,0.062124,0.049098,0.036072,0.025050,0.026052
Georgia,0.064000,0.068000,0.070000,0.071000,0.069000,0.070000,0.066000,0.068000,0.066000,0.068000,0.068000,0.064000,0.056000,0.049000,0.034000,0.022000,0.014000,0.013000
Hawaii,0.064064,0.060060,0.058058,0.055055,0.069069,0.074074,0.070070,0.064064,0.061061,0.061061,0.063063,0.064064,0.065065,0.059059,0.038038,0.027027,0.020020,0.027027
Idaho,0.068000,0.075000,0.072000,0.072000,0.067000,0.066000,0.065000,0.065000,0.057000,0.059000,0.059000,0.063000,0.060000,0.054000,0.038000,0.025000,0.018000,0.017000
Illinois,0.060060,0.063063,0.065065,0.067067,0.068068,0.070070,0.068068,0.065065,0.064064,0.066066,0.068068,0.067067,0.062062,0.049049,0.035035,0.024024,0.018018,0.020020
Indiana,0.063000,0.067000,0.066000,0.070000,0.072000,0.066000,0.063000,0.063000,0.060000,0.063000,0.067000,0.068000,0.062000,0.052000,0.035000,0.026000,0.018000,0.019000
Iowa,0.063000,0.065000,0.065000,0.070000,0.071000,0.062000,0.064000,0.063000,0.055000,0.060000,0.065000,0.068000,0.065000,0.053000,0.037000,0.028000,0.021000,0.025000
Kansas,0.067864,0.069860,0.067864,0.070858,0.072854,0.063872,0.065868,0.063872,0.057884,0.057884,0.062874,0.066866,0.060878,0.050898,0.033932,0.025948,0.017964,0.021956
Kentucky,0.061938,0.062937,0.063936,0.068931,0.066933,0.064935,0.061938,0.062937,0.061938,0.065934,0.068931,0.068931,0.063936,0.054945,0.037962,0.026973,0.018981,0.016983
Louisiana,0.066000,0.065000,0.068000,0.067000,0.069000,0.073000,0.070000,0.066000,0.059000,0.060000,0.065000,0.067000,0.061000,0.049000,0.037000,0.025000,0.017000,0.016000
Maine,0.048048,0.056056,0.052052,0.062062,0.056056,0.060060,0.058058,0.055055,0.059059,0.068068,0.076076,0.082082,0.075075,0.069069,0.045045,0.030030,0.022022,0.026026
Maryland,0.059880,0.062874,0.061876,0.063872,0.065868,0.069860,0.068862,0.066866,0.060878,0.068862,0.072854,0.069860,0.061876,0.050898,0.034930,0.024950,0.016966,0.017964
Massachusetts,0.053000,0.053000,0.059000,0.068000,0.073000,0.071000,0.068000,0.060000,0.061000,0.068000,0.073000,0.071000,0.064000,0.051000,0.039000,0.026000,0.019000,0.023000
